kind_code	kind_name	prefecture	name	category	subcategory	detail_url
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	似鳥のサイトギ	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/00000868
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	倉沢人形歌舞伎	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/312/00000995
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	円万寺神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/196
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	北上山地の畑作習俗	風俗慣習	生産・生業	https://kunishitei.bunka.go.jp/heritage/detail/312/202
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	南部のオガミサマの習俗	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/201
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	南部の酒造習俗	風俗慣習	生産・生業	https://kunishitei.bunka.go.jp/heritage/detail/312/200
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	古実式三番	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/312/195
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	山屋の田植踊	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/312/193
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	岩手の蘇民祭	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/699
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	川西の念仏剣舞	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/194
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	早池峰神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/191
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	毛越寺の延年	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/312/190
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	永井の大念仏	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/192
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	煤孫の大乗神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/199
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	石鳩岡神楽・土沢神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/00000912
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	陸中沿岸地方の廻り神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/629
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	陸中沿岸地方の神子舞	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/203
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	青笹のしし踊	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/197
312	記録作成等の措置を講ずべき無形の民俗文化財	岩手県	鴨沢神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/647
302	重要無形民俗文化財	宮城県	小迫の延年	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/302/14
302	重要無形民俗文化財	宮城県	月浜のえんずのわり	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/302/00000809
302	重要無形民俗文化財	宮城県	秋保の田植踊	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/302/13
