code	prefecture	municipality	official_url	tourism_url	resolved
072010	福島県	福島市	https://www.city.fukushima.fukushima.jp/	https://www.f-kankou.jp/	本文に自治体名を確認
072028	福島県	会津若松市	https://www.city.aizuwakamatsu.fukushima.jp/		本文に自治体名を確認
072036	福島県	郡山市	https://www.city.koriyama.lg.jp/	https://www.kanko-koriyama.gr.jp/	本文に自治体名を確認
072044	福島県	いわき市	https://www.city.iwaki.lg.jp/	https://kankou-iwaki.or.jp/	本文に自治体名を確認
072052	福島県	白河市	https://www.city.shirakawa.fukushima.jp/	https://shirakawa315.com/	本文に自治体名を確認
072079	福島県	須賀川市	https://www.city.sukagawa.fukushima.jp/	https://sukagawakanko.shop-pro.jp/	本文に自治体名を確認
072087	福島県	喜多方市	https://www.city.kitakata.fukushima.jp/	https://www.kitakata-kanko.jp/	本文に自治体名を確認
072095	福島県	相馬市	https://www.city.soma.fukushima.jp/	http://soma-kanko.jp/	本文に自治体名を確認
072109	福島県	二本松市	https://www.city.nihonmatsu.lg.jp/	http://www.nihonmatsu-kanko.jp/	本文に自治体名を確認
072117	福島県	田村市	https://www.city.tamura.lg.jp/		本文に自治体名を確認
072125	福島県	南相馬市	https://www.city.minamisoma.lg.jp/	https://odaka6014.jp/	本文に自治体名を確認
072133	福島県	伊達市	https://www.city.fukushima-date.lg.jp/	https://dateshikankou.jp/	本文に自治体名を確認
072141	福島県	本宮市	https://www.city.motomiya.lg.jp/		本文に自治体名を確認
073016	福島県	桑折町	https://www.town.koori.fukushima.jp/		本文に自治体名を確認
073032	福島県	国見町	https://www.town.kunimi.fukushima.jp/		本文に自治体名を確認
073083	福島県	川俣町	https://www.town.kawamata.lg.jp/		本文に自治体名を確認
073229	福島県	大玉村	https://www.vill.otama.fukushima.jp/		本文に自治体名を確認
073423	福島県	鏡石町	https://www.town.kagamiishi.fukushima.jp/	http://www.kagamiishi-kanko.jp/	本文に自治体名を確認
073440	福島県	天栄村	https://www.vill.tenei.fukushima.jp/	http://www.ten-ei.net/	本文に自治体名を確認
073628	福島県	下郷町	https://www.town.shimogo.fukushima.jp/	http://shimogo.jp/	本文に自治体名を確認
073644	福島県	檜枝岐村	https://www.vill.hinoemata.lg.jp/	http://www.oze-info.jp/	本文に自治体名を確認
073679	福島県	只見町	https://www.town.tadami.lg.jp/	https://www.tadami-net.com/	本文に自治体名を確認
073687	福島県	南会津町	https://www.town.minamiaizu.lg.jp/		本文に自治体名を確認
